origin_loc_id,origin_borough,origin_zone_name,dest_loc_id,destination_borough,destination_zone_name,trip_count,percentage_of_origin_trips,average_distance_miles,average_duration_minutes,average_total_charge,origin_flow_rank,overall_flow_rank
41,Manhattan,Central Harlem,151,Manhattan,Manhattan Valley,568,3.42,1.228,8.594,13.36,7,1620
88,Manhattan,Financial District South,231,Manhattan,TriBeCa/Civic Center,568,4.14,1.481,10.961,19.66,1,1620
261,Manhattan,World Trade Center,48,Manhattan,Clinton East,567,2.78,4.27,29.972,35.56,10,1624
4,Manhattan,Alphabet City,79,Manhattan,East Village,565,4.73,0.759,5.97,14.89,1,1630
74,Manhattan,East Harlem North,236,Manhattan,Upper East Side North,564,3.84,1.881,11.892,19.03,5,1632
88,Manhattan,Financial District South,79,Manhattan,East Village,556,4.05,3.417,14.977,26.17,2,1647
226,Queens,Sunnyside,132,Queens,JFK Airport,549,7.93,12.693,43.246,98.5,1,1658
41,Manhattan,Central Harlem,116,Manhattan,Hamilton Heights,547,3.29,1.811,13.119,14.55,8,1664
41,Manhattan,Central Harlem,236,Manhattan,Upper East Side North,527,3.17,1.964,12.793,19.31,9,1699
24,Manhattan,Bloomingdale,166,Manhattan,Morningside Heights,526,4.81,0.716,4.993,10.23,3,1703
24,Manhattan,Bloomingdale,151,Manhattan,Manhattan Valley,518,4.73,0.582,4.179,10.02,4,1717
41,Manhattan,Central Harlem,244,Manhattan,Washington Heights South,513,3.08,3.139,16.986,19.76,10,1730
88,Manhattan,Financial District South,148,Manhattan,Lower East Side,512,3.73,2.237,12.959,22.1,3,1731
4,Manhattan,Alphabet City,148,Manhattan,Lower East Side,507,4.24,0.992,8.013,16.47,2,1735
24,Manhattan,Bloomingdale,236,Manhattan,Upper East Side North,507,4.63,2.134,13.877,21.51,5,1735
209,Manhattan,Seaport,79,Manhattan,East Village,495,5.24,2.623,13.816,23.69,1,1758
24,Manhattan,Bloomingdale,142,Manhattan,Lincoln Square East,492,4.5,2.261,13.113,21.49,6,1764
244,Manhattan,Washington Heights South,116,Manhattan,Hamilton Heights,474,5.8,1.212,8.031,12.09,1,1807
70,Queens,East Elmhurst,161,Manhattan,Midtown Center,472,3.94,9.517,39.578,75.39,2,1816
232,Manhattan,Two Bridges/Seward Park,79,Manhattan,East Village,457,4.7,1.22,9.261,18.2,1,1846
74,Manhattan,East Harlem North,166,Manhattan,Morningside Heights,455,3.1,1.738,14.018,16.63,6,1854
74,Manhattan,East Harlem North,244,Manhattan,Washington Heights South,454,3.09,3.764,21.029,23.64,7,1858
88,Manhattan,Financial District South,230,Manhattan,Times Sq/Theatre District,452,3.29,5.671,30.844,40.55,4,1866
116,Manhattan,Hamilton Heights,42,Manhattan,Central Harlem North,443,5.97,1.333,9.514,12.58,1,1889
24,Manhattan,Bloomingdale,41,Manhattan,Central Harlem,433,3.96,1.06,7.998,12.78,7,1907
209,Manhattan,Seaport,148,Manhattan,Lower East Side,433,4.58,1.551,11.277,20.01,2,1907
244,Manhattan,Washington Heights South,243,Manhattan,Washington Heights North,433,5.3,1.536,9.27,13.15,2,1907
4,Manhattan,Alphabet City,249,Manhattan,West Village,425,3.56,1.704,13.698,20.54,3,1929
116,Manhattan,Hamilton Heights,41,Manhattan,Central Harlem,420,5.66,1.84,11.899,14.8,2,1941
24,Manhattan,Bloomingdale,74,Manhattan,East Harlem North,414,3.78,1.858,13.318,17.01,8,1949
244,Manhattan,Washington Heights South,42,Manhattan,Central Harlem North,413,5.05,2.215,12.222,15.73,3,1950
42,Manhattan,Central Harlem North,116,Manhattan,Hamilton Heights,412,3.88,1.167,9.026,12.02,4,1954
224,Manhattan,Stuy Town/Peter Cooper Village,170,Manhattan,Murray Hill,411,5.16,1.472,10.429,18.39,1,1959
116,Manhattan,Hamilton Heights,244,Manhattan,Washington Heights South,407,5.49,1.389,9.243,12.22,3,1972
74,Manhattan,East Harlem North,141,Manhattan,Lenox Hill West,405,2.76,2.684,12.471,20.99,8,1975
88,Manhattan,Financial District South,68,Manhattan,East Chelsea,394,2.87,3.98,23.06,31.58,5,1997
4,Manhattan,Alphabet City,170,Manhattan,Murray Hill,390,3.27,2.18,13.05,20.82,4,2010
45,Manhattan,Chinatown,79,Manhattan,East Village,390,4.83,1.445,14.859,19.3,1,2010
74,Manhattan,East Harlem North,140,Manhattan,Lenox Hill East,390,2.66,3.104,15.757,23.31,9,2010
116,Manhattan,Hamilton Heights,74,Manhattan,East Harlem North,389,5.25,2.409,15.185,18.01,4,2013
42,Manhattan,Central Harlem North,244,Manhattan,Washington Heights South,385,3.63,2.206,14.852,17.0,5,2025
70,Queens,East Elmhurst,162,Manhattan,Midtown East,382,3.19,9.115,32.703,71.41,3,2031
74,Manhattan,East Harlem North,116,Manhattan,Hamilton Heights,382,2.6,2.619,16.288,19.13,10,2031
24,Manhattan,Bloomingdale,75,Manhattan,East Harlem South,377,3.45,1.552,11.867,15.64,9,2040
129,Queens,Jackson Heights,138,Queens,LaGuardia Airport,373,8.69,1.35,2.661,80.27,1,2050
4,Manhattan,Alphabet City,114,Manhattan,Greenwich Village South,372,3.11,1.198,9.566,17.6,5,2053
4,Manhattan,Alphabet City,107,Manhattan,Gramercy,369,3.09,1.301,8.725,17.01,6,2061
7,Queens,Astoria,223,Queens,Steinway,369,4.73,1.557,10.309,12.93,1,2061
4,Manhattan,Alphabet City,144,Manhattan,Little Italy/NoLiTa,367,3.07,1.294,10.409,17.72,7,2067
244,Manhattan,Washington Heights South,74,Manhattan,East Harlem North,364,4.45,3.802,16.12,21.46,4,2077
4,Manhattan,Alphabet City,231,Manhattan,TriBeCa/Civic Center,363,3.04,2.536,14.387,22.58,8,2082
88,Manhattan,Financial District South,161,Manhattan,Midtown Center,363,2.64,5.778,30.133,39.15,6,2082
116,Manhattan,Hamilton Heights,166,Manhattan,Morningside Heights,362,4.88,1.554,8.928,12.89,5,2086
152,Manhattan,Manhattanville,166,Manhattan,Morningside Heights,362,7.06,0.869,5.843,11.47,1,2086
88,Manhattan,Financial District South,162,Manhattan,Midtown East,359,2.62,5.499,19.972,35.23,7,2095
70,Queens,East Elmhurst,163,Manhattan,Midtown North,351,2.93,9.919,41.605,76.6,4,2112
70,Queens,East Elmhurst,164,Manhattan,Midtown South,350,2.93,9.064,37.861,72.23,5,2114
243,Manhattan,Washington Heights North,244,Manhattan,Washington Heights South,350,10.52,1.417,10.065,13.4,1,2114
42,Manhattan,Central Harlem North,166,Manhattan,Morningside Heights,349,3.29,1.606,11.306,14.25,6,2120
4,Manhattan,Alphabet City,68,Manhattan,East Chelsea,346,2.9,2.677,19.146,24.84,9,2128
88,Manhattan,Financial District South,246,Manhattan,West Chelsea/Hudson Yards,346,2.52,3.972,22.688,32.34,8,2128
145,Queens,Long Island City/Hunters Point,132,Queens,JFK Airport,346,4.97,13.717,40.083,97.06,1,2128
88,Manhattan,Financial District South,87,Manhattan,Financial District North,345,2.51,0.565,5.203,14.99,9,2136
88,Manhattan,Financial District South,170,Manhattan,Murray Hill,343,2.5,5.071,19.197,32.99,10,2140
24,Manhattan,Bloomingdale,237,Manhattan,Upper East Side South,339,3.1,2.952,18.554,25.5,10,2158
226,Queens,Sunnyside,7,Queens,Astoria,337,4.87,1.599,10.09,13.62,2,2163
244,Manhattan,Washington Heights South,166,Manhattan,Morningside Heights,335,4.1,2.756,13.812,18.12,5,2174
209,Manhattan,Seaport,231,Manhattan,TriBeCa/Civic Center,327,3.46,1.027,9.013,17.78,3,2198
145,Queens,Long Island City/Hunters Point,7,Queens,Astoria,324,4.66,2.111,12.946,17.02,2,2206
4,Manhattan,Alphabet City,234,Manhattan,Union Sq,323,2.7,1.761,13.445,19.94,10,2210
45,Manhattan,Chinatown,148,Manhattan,Lower East Side,323,4.0,0.871,8.326,16.3,2,2210
224,Manhattan,Stuy Town/Peter Cooper Village,186,Manhattan,Penn Station/Madison Sq West,323,4.06,1.875,21.008,22.36,2,2210
45,Manhattan,Chinatown,87,Manhattan,Financial District North,321,3.98,0.917,11.9,17.88,3,2218
226,Queens,Sunnyside,138,Queens,LaGuardia Airport,319,4.61,5.708,14.676,77.68,3,2220
224,Manhattan,Stuy Town/Peter Cooper Village,162,Manhattan,Midtown East,315,3.95,1.94,16.825,20.0,3,2228
244,Manhattan,Washington Heights South,238,Manhattan,Upper West Side North,312,3.82,4.389,16.924,25.92,6,2236
224,Manhattan,Stuy Town/Peter Cooper Village,234,Manhattan,Union Sq,301,3.78,1.176,10.952,17.92,4,2271
116,Manhattan,Hamilton Heights,75,Manhattan,East Harlem South,300,4.05,3.432,18.735,21.01,6,2276
232,Manhattan,Two Bridges/Seward Park,107,Manhattan,Gramercy,299,3.08,1.927,12.937,20.65,2,2279
244,Manhattan,Washington Heights South,41,Manhattan,Central Harlem,299,3.66,3.006,16.492,19.63,7,2279
209,Manhattan,Seaport,170,Manhattan,Murray Hill,297,3.14,4.47,17.16,30.46,4,2290
70,Queens,East Elmhurst,170,Manhattan,Murray Hill,290,2.42,8.837,30.349,68.56,6,2327
232,Manhattan,Two Bridges/Seward Park,231,Manhattan,TriBeCa/Civic Center,289,2.97,1.948,13.399,20.98,3,2330
244,Manhattan,Washington Heights South,239,Manhattan,Upper West Side South,289,3.54,5.124,18.072,27.29,8,2330
70,Queens,East Elmhurst,48,Manhattan,Clinton East,287,2.4,10.046,41.895,78.39,7,2336
152,Manhattan,Manhattanville,74,Manhattan,East Harlem North,286,5.57,1.818,14.02,16.45,2,2339
209,Manhattan,Seaport,232,Manhattan,Two Bridges/Seward Park,284,3.01,1.534,9.479,18.19,5,2352
232,Manhattan,Two Bridges/Seward Park,170,Manhattan,Murray Hill,283,2.91,2.988,16.533,24.5,4,2355
255,Brooklyn,Williamsburg (North Side),112,Brooklyn,Greenpoint,282,3.57,1.21,8.223,12.85,1,2360
244,Manhattan,Washington Heights South,48,Manhattan,Clinton East,279,3.41,6.989,22.283,33.9,9,2368
45,Manhattan,Chinatown,230,Manhattan,Times Sq/Theatre District,276,3.42,4.399,28.942,35.95,4,2385
152,Manhattan,Manhattanville,42,Manhattan,Central Harlem North,275,5.36,1.37,9.792,12.91,3,2393
232,Manhattan,Two Bridges/Seward Park,87,Manhattan,Financial District North,275,2.83,1.881,10.414,19.0,5,2393
224,Manhattan,Stuy Town/Peter Cooper Village,107,Manhattan,Gramercy,274,3.44,0.794,6.666,15.16,5,2399
232,Manhattan,Two Bridges/Seward Park,234,Manhattan,Union Sq,272,2.8,2.551,17.766,23.89,6,2408
146,Queens,Long Island City/Queens Plaza,7,Queens,Astoria,271,7.11,1.306,8.138,14.11,1,2412
7,Queens,Astoria,129,Queens,Jackson Heights,266,3.41,2.547,14.084,16.68,2,2435
70,Queens,East Elmhurst,138,Queens,LaGuardia Airport,266,2.22,0.518,2.323,55.13,8,2435
255,Brooklyn,Williamsburg (North Side),37,Brooklyn,Bushwick South,265,3.35,2.612,17.64,18.9,2,2441
224,Manhattan,Stuy Town/Peter Cooper Village,79,Manhattan,East Village,259,3.25,0.961,6.814,15.37,6,2458
197,Queens,Richmond Hill,216,Queens,South Ozone Park,258,9.53,1.419,7.227,38.83,1,2466
226,Queens,Sunnyside,129,Queens,Jackson Heights,258,3.73,2.816,14.687,22.54,4,2466
116,Manhattan,Hamilton Heights,243,Manhattan,Washington Heights North,256,3.45,2.85,13.448,16.84,7,2476
152,Manhattan,Manhattanville,41,Manhattan,Central Harlem,256,4.99,1.155,8.662,12.34,4,2476
42,Manhattan,Central Harlem North,48,Manhattan,Clinton East,253,2.38,5.978,25.4,33.59,7,2488
232,Manhattan,Two Bridges/Seward Park,148,Manhattan,Lower East Side,250,2.57,0.743,6.774,17.11,7,2505
45,Manhattan,Chinatown,231,Manhattan,TriBeCa/Civic Center,248,3.07,0.867,8.67,16.72,5,2514
224,Manhattan,Stuy Town/Peter Cooper Village,68,Manhattan,East Chelsea,248,3.11,2.026,17.379,23.66,7,2514
244,Manhattan,Washington Heights South,75,Manhattan,East Harlem South,242,2.96,4.781,19.545,24.67,10,2538
42,Manhattan,Central Harlem North,152,Manhattan,Manhattanville,241,2.27,1.284,9.491,12.53,8,2540
70,Queens,East Elmhurst,236,Manhattan,Upper East Side North,241,2.01,8.329,32.915,64.78,9,2540
70,Queens,East Elmhurst,239,Manhattan,Upper West Side South,239,2.0,10.006,40.166,75.65,10,2552
42,Manhattan,Central Harlem North,238,Manhattan,Upper West Side North,235,2.22,2.781,16.822,22.41,9,2573
209,Manhattan,Seaport,230,Manhattan,Times Sq/Theatre District,234,2.48,5.331,27.203,37.14,6,2579
209,Manhattan,Seaport,144,Manhattan,Little Italy/NoLiTa,233,2.47,1.325,18.208,19.83,7,2584
224,Manhattan,Stuy Town/Peter Cooper Village,161,Manhattan,Midtown Center,233,2.93,2.338,17.545,24.58,8,2584
209,Manhattan,Seaport,162,Manhattan,Midtown East,232,2.46,4.952,18.799,32.67,8,2589
209,Manhattan,Seaport,107,Manhattan,Gramercy,229,2.42,3.559,15.805,27.13,9,2599
224,Manhattan,Stuy Town/Peter Cooper Village,137,Manhattan,Kips Bay,229,2.88,0.901,6.055,15.13,9,2599
255,Brooklyn,Williamsburg (North Side),79,Manhattan,East Village,228,2.89,3.188,16.917,25.44,3,2604
255,Brooklyn,Williamsburg (North Side),148,Manhattan,Lower East Side,228,2.89,2.746,14.572,23.19,4,2604
224,Manhattan,Stuy Town/Peter Cooper Village,113,Manhattan,Greenwich Village North,224,2.81,1.266,10.595,18.23,10,2620
255,Brooklyn,Williamsburg (North Side),256,Brooklyn,Williamsburg (South Side),224,2.83,0.861,6.697,12.77,5,2620
61,Brooklyn,Crown Heights North,76,Brooklyn,East New York,223,3.66,3.678,23.337,22.97,1,2625
188,Brooklyn,Prospect-Lefferts Gardens,61,Brooklyn,Crown Heights North,222,5.74,1.969,14.486,15.18,1,2633
42,Manhattan,Central Harlem North,243,Manhattan,Washington Heights North,221,2.08,3.557,16.57,20.07,10,2641
152,Manhattan,Manhattanville,244,Manhattan,Washington Heights South,221,4.31,2.22,11.306,15.25,5,2641
209,Manhattan,Seaport,164,Manhattan,Midtown South,221,2.34,4.322,20.632,31.05,10,2641
232,Manhattan,Two Bridges/Seward Park,137,Manhattan,Kips Bay,218,2.24,2.422,13.771,21.03,8,2660
232,Manhattan,Two Bridges/Seward Park,162,Manhattan,Midtown East,216,2.22,3.608,17.202,26.5,9,2673
232,Manhattan,Two Bridges/Seward Park,164,Manhattan,Midtown South,214,2.2,3.148,19.452,25.69,10,2685
152,Manhattan,Manhattanville,238,Manhattan,Upper West Side North,213,4.15,2.154,11.584,18.94,6,2691
7,Queens,Astoria,179,Queens,Old Astoria,209,2.68,1.127,8.062,11.34,3,2709
116,Manhattan,Hamilton Heights,238,Manhattan,Upper West Side North,209,2.82,2.981,14.964,21.68,8,2709
45,Manhattan,Chinatown,170,Manhattan,Murray Hill,208,2.58,3.394,20.763,29.23,6,2721
116,Manhattan,Hamilton Heights,48,Manhattan,Clinton East,208,2.8,5.803,20.779,31.42,9,2721
116,Manhattan,Hamilton Heights,152,Manhattan,Manhattanville,208,2.8,0.856,5.781,9.94,10,2721
7,Queens,Astoria,145,Queens,Long Island City/Hunters Point,207,2.65,2.105,12.966,15.16,4,2735
130,Queens,Jamaica,205,Queens,Saint Albans,205,5.0,2.985,14.736,16.94,1,2746
179,Queens,Old Astoria,7,Queens,Astoria,205,7.12,1.121,8.943,11.68,1,2746
61,Brooklyn,Crown Heights North,181,Brooklyn,Park Slope,203,3.33,2.589,19.415,18.75,2,2758
129,Queens,Jackson Heights,7,Queens,Astoria,203,4.73,2.306,14.078,15.04,2,2758
45,Manhattan,Chinatown,68,Manhattan,East Chelsea,198,2.45,3.114,22.149,28.46,7,2795
45,Manhattan,Chinatown,232,Manhattan,Two Bridges/Seward Park,198,2.45,1.162,8.991,16.75,8,2795
80,Brooklyn,East Williamsburg,37,Brooklyn,Bushwick South,198,4.03,1.943,12.726,16.23,1,2795
255,Brooklyn,Williamsburg (North Side),61,Brooklyn,Crown Heights North,198,2.51,3.754,21.738,22.83,6,2795
256,Brooklyn,Williamsburg (South Side),148,Manhattan,Lower East Side,198,3.12,2.216,12.572,21.55,1,2795
197,Queens,Richmond Hill,132,Queens,JFK Airport,195,7.2,4.193,10.072,91.37,2,2812
256,Brooklyn,Williamsburg (South Side),37,Brooklyn,Bushwick South,195,3.07,2.259,15.407,17.68,2,2812
134,Queens,Kew Gardens,132,Queens,JFK Airport,192,18.06,5.077,13.523,94.73,1,2834
112,Brooklyn,Greenpoint,255,Brooklyn,Williamsburg (North Side),191,3.6,1.255,9.45,12.35,1,2845
7,Queens,Astoria,260,Queens,Woodside,190,2.43,1.927,11.163,13.59,5,2848
61,Brooklyn,Crown Heights North,188,Brooklyn,Prospect-Lefferts Gardens,190,3.12,1.807,12.719,14.96,3,2848
256,Brooklyn,Williamsburg (South Side),79,Manhattan,East Village,188,2.96,2.644,15.496,23.55,3,2865
256,Brooklyn,Williamsburg (South Side),112,Brooklyn,Greenpoint,188,2.96,1.73,11.317,14.39,4,2865
152,Manhattan,Manhattanville,151,Manhattan,Manhattan Valley,187,3.64,1.751,9.762,14.62,7,2871
45,Manhattan,Chinatown,164,Manhattan,Midtown South,186,2.31,3.259,21.329,29.12,9,2879
145,Queens,Long Island City/Hunters Point,223,Queens,Steinway,186,2.67,3.722,18.453,23.26,3,2879
145,Queens,Long Island City/Hunters Point,138,Queens,LaGuardia Airport,184,2.64,6.51,17.411,76.24,4,2885
17,Brooklyn,Bedford,61,Brooklyn,Crown Heights North,183,4.91,1.634,12.154,14.56,1,2893
37,Brooklyn,Bushwick South,61,Brooklyn,Crown Heights North,183,3.49,2.616,17.152,17.62,1,2893
112,Brooklyn,Greenpoint,256,Brooklyn,Williamsburg (South Side),183,3.45,1.65,12.315,15.05,2,2893
129,Queens,Jackson Heights,82,Queens,Elmhurst,183,4.27,1.629,11.799,13.34,3,2893
145,Queens,Long Island City/Hunters Point,226,Queens,Sunnyside,183,2.63,1.465,8.817,17.56,5,2893
226,Queens,Sunnyside,145,Queens,Long Island City/Hunters Point,183,2.64,1.687,10.94,16.85,5,2893
226,Queens,Sunnyside,260,Queens,Woodside,183,2.64,1.358,8.394,13.91,6,2893
260,Queens,Woodside,129,Queens,Jackson Heights,183,5.84,1.628,10.032,16.38,1,2893
260,Queens,Woodside,226,Queens,Sunnyside,183,5.84,1.371,7.825,18.11,2,2893
45,Manhattan,Chinatown,107,Manhattan,Gramercy,182,2.26,2.153,14.214,22.33,10,2904
76,Brooklyn,East New York,35,Brooklyn,Brownsville,182,4.42,2.259,15.32,15.88,1,2904
39,Brooklyn,Canarsie,76,Brooklyn,East New York,181,6.53,2.662,14.394,15.66,1,2912
181,Brooklyn,Park Slope,61,Brooklyn,Crown Heights North,181,3.98,2.621,16.788,18.93,1,2912
66,Brooklyn,DUMBO/Vinegar Hill,255,Brooklyn,Williamsburg (North Side),180,3.74,3.621,18.816,24.32,1,2918
152,Manhattan,Manhattanville,239,Manhattan,Upper West Side South,180,3.51,2.859,14.469,22.71,8,2918
7,Queens,Astoria,226,Queens,Sunnyside,178,2.28,1.838,11.276,12.98,6,2935
76,Brooklyn,East New York,61,Brooklyn,Crown Heights North,178,4.33,3.93,25.138,23.5,2,2935
255,Brooklyn,Williamsburg (North Side),225,Brooklyn,Stuyvesant Heights,177,2.24,2.792,19.865,20.26,7,2944
35,Brooklyn,Brownsville,76,Brooklyn,East New York,176,7.14,2.382,16.503,17.03,1,2953
225,Brooklyn,Stuyvesant Heights,61,Brooklyn,Crown Heights North,176,4.47,1.776,13.045,14.45,1,2953
223,Queens,Steinway,7,Queens,Astoria,175,7.85,1.442,10.007,11.77,1,2962
226,Queens,Sunnyside,82,Queens,Elmhurst,175,2.53,3.04,16.009,18.26,7,2962
255,Brooklyn,Williamsburg (North Side),80,Brooklyn,East Williamsburg,175,2.21,1.308,9.472,13.69,8,2962
76,Brooklyn,East New York,39,Brooklyn,Canarsie,174,4.23,2.713,14.402,16.27,3,2972
146,Queens,Long Island City/Queens Plaza,223,Queens,Steinway,174,4.57,2.525,14.772,20.31,2,2972
260,Queens,Woodside,7,Queens,Astoria,174,5.56,1.728,10.635,13.11,3,2972
7,Queens,Astoria,82,Queens,Elmhurst,173,2.22,3.698,18.635,20.39,7,2986
61,Brooklyn,Crown Heights North,37,Brooklyn,Bushwick South,173,2.84,2.548,17.737,17.79,4,2986
215,Queens,South Jamaica,130,Queens,Jamaica,173,11.33,1.385,9.523,11.3,1,2986
72,Brooklyn,East Flatbush/Remsen Village,76,Brooklyn,East New York,170,7.06,3.051,18.216,19.3,1,3015
61,Brooklyn,Crown Heights North,225,Brooklyn,Stuyvesant Heights,169,2.77,1.74,12.359,14.97,5,3023
72,Brooklyn,East Flatbush/Remsen Village,61,Brooklyn,Crown Heights North,168,6.98,2.128,16.054,15.29,2,3030
112,Brooklyn,Greenpoint,37,Brooklyn,Bushwick South,166,3.13,2.814,18.866,19.88,3,3046
25,Brooklyn,Boerum Hill,61,Brooklyn,Crown Heights North,164,3.59,2.774,20.015,20.63,1,3061
127,Manhattan,Inwood,244,Manhattan,Washington Heights South,163,10.12,2.511,13.446,15.5,1,3073
216,Queens,South Ozone Park,130,Queens,Jamaica,163,5.62,2.437,14.832,14.88,2,3073
255,Brooklyn,Williamsburg (North Side),36,Brooklyn,Bushwick North,161,2.04,2.88,17.798,19.99,9,3096
37,Brooklyn,Bushwick South,36,Brooklyn,Bushwick North,159,3.04,1.328,9.127,11.24,2,3113
152,Manhattan,Manhattanville,75,Manhattan,East Harlem South,159,3.1,2.577,16.696,19.08,9,3113
188,Brooklyn,Prospect-Lefferts Gardens,181,Brooklyn,Park Slope,159,4.11,2.707,18.918,18.97,2,3113
152,Manhattan,Manhattanville,48,Manhattan,Clinton East,158,3.08,5.064,18.5,28.61,10,3123
82,Queens,Elmhurst,129,Queens,Jackson Heights,157,5.27,1.488,11.334,13.41,1,3133
7,Queens,Astoria,146,Queens,Long Island City/Queens Plaza,155,1.99,1.149,7.762,12.07,8,3152
145,Queens,Long Island City/Hunters Point,112,Brooklyn,Greenpoint,154,2.21,1.687,9.723,13.49,6,3159
25,Brooklyn,Boerum Hill,181,Brooklyn,Park Slope,153,3.35,1.502,10.925,15.01,2,3168
76,Brooklyn,East New York,188,Brooklyn,Prospect-Lefferts Gardens,153,3.72,4.444,27.495,24.28,4,3168
255,Brooklyn,Williamsburg (North Side),181,Brooklyn,Park Slope,153,1.94,5.175,23.842,27.38,10,3168
61,Brooklyn,Crown Heights North,17,Brooklyn,Bedford,152,2.49,1.692,12.478,14.96,6,3176
61,Brooklyn,Crown Heights North,89,Brooklyn,Flatbush/Ditmas Park,152,2.49,3.245,21.765,21.13,7,3176
243,Manhattan,Washington Heights North,42,Manhattan,Central Harlem North,152,4.57,3.4,13.143,17.03,2,3176
130,Queens,Jamaica,10,Queens,Baisley Park,151,3.69,2.363,12.592,14.45,2,3189
36,Brooklyn,Bushwick North,37,Brooklyn,Bushwick South,149,4.24,1.354,9.077,12.85,1,3210
145,Queens,Long Island City/Hunters Point,92,Queens,Flushing,149,2.14,8.706,26.53,35.66,7,3210
243,Manhattan,Washington Heights North,75,Manhattan,East Harlem South,149,4.48,5.757,21.85,25.75,3,3210
61,Brooklyn,Crown Heights North,97,Brooklyn,Fort Greene,148,2.43,2.393,18.528,17.78,8,3222
80,Brooklyn,East Williamsburg,61,Brooklyn,Crown Heights North,148,3.01,3.155,18.429,20.45,2,3222
129,Queens,Jackson Heights,260,Queens,Woodside,147,3.43,1.44,10.821,13.93,4,3230
36,Brooklyn,Bushwick North,61,Brooklyn,Crown Heights North,146,4.16,2.939,17.929,19.56,2,3239
91,Brooklyn,Flatlands,89,Brooklyn,Flatbush/Ditmas Park,146,6.65,2.281,15.405,15.19,1,3239
145,Queens,Long Island City/Hunters Point,179,Queens,Old Astoria,146,2.1,2.364,13.316,17.73,8,3239
130,Queens,Jamaica,216,Queens,South Ozone Park,145,3.54,2.697,13.71,18.56,3,3248
205,Queens,Saint Albans,130,Queens,Jamaica,144,12.93,2.554,14.403,15.49,1,3254
39,Brooklyn,Canarsie,61,Brooklyn,Crown Heights North,143,5.16,3.685,24.725,23.05,2,3261
112,Brooklyn,Greenpoint,145,Queens,Long Island City/Hunters Point,143,2.69,1.686,9.599,14.44,4,3261
226,Queens,Sunnyside,223,Queens,Steinway,143,2.07,3.085,16.345,21.8,8,3261
243,Manhattan,Washington Heights North,116,Manhattan,Hamilton Heights,142,4.27,2.82,13.582,15.82,4,3277
243,Manhattan,Washington Heights North,127,Manhattan,Inwood,142,4.27,1.373,8.683,12.14,5,3277
256,Brooklyn,Williamsburg (South Side),61,Brooklyn,Crown Heights North,142,2.24,3.12,20.927,22.76,5,3277
66,Brooklyn,DUMBO/Vinegar Hill,230,Manhattan,Times Sq/Theatre District,141,2.93,6.837,31.476,41.08,2,3285
61,Brooklyn,Crown Heights North,39,Brooklyn,Canarsie,140,2.3,3.713,23.909,21.35,9,3296
112,Brooklyn,Greenpoint,80,Brooklyn,East Williamsburg,140,2.64,1.649,11.393,13.56,5,3296
256,Brooklyn,Williamsburg (South Side),36,Brooklyn,Bushwick North,140,2.21,2.662,16.216,18.26,6,3296
91,Brooklyn,Flatlands,39,Brooklyn,Canarsie,139,6.33,2.158,12.794,14.97,2,3302
10,Queens,Baisley Park,130,Queens,Jamaica,138,7.06,2.177,12.573,15.16,1,3316
97,Brooklyn,Fort Greene,61,Brooklyn,Crown Heights North,138,2.74,2.572,18.966,19.51,1,3316
181,Brooklyn,Park Slope,188,Brooklyn,Prospect-Lefferts Gardens,138,3.03,2.544,16.302,17.86,2,3316
130,Queens,Jamaica,215,Queens,South Jamaica,137,3.34,1.421,8.96,10.76,4,3327
256,Brooklyn,Williamsburg (South Side),255,Brooklyn,Williamsburg (North Side),137,2.16,0.984,8.215,12.4,7,3327
33,Brooklyn,Brooklyn Heights,79,Manhattan,East Village,136,2.74,3.748,18.885,27.55,1,3333
97,Brooklyn,Fort Greene,225,Brooklyn,Stuyvesant Heights,136,2.7,2.501,17.125,19.35,2,3333
216,Queens,South Ozone Park,197,Queens,Richmond Hill,136,4.69,1.61,9.47,12.09,3,3333
256,Brooklyn,Williamsburg (South Side),225,Brooklyn,Stuyvesant Heights,135,2.13,2.422,17.066,19.25,8,3343
130,Queens,Jamaica,191,Queens,Queens Village,134,3.27,4.155,17.282,19.6,5,3355
65,Brooklyn,Downtown Brooklyn/MetroTech,61,Brooklyn,Crown Heights North,133,2.57,3.194,22.39,22.63,1,3367
72,Brooklyn,East Flatbush/Remsen Village,39,Brooklyn,Canarsie,133,5.53,1.857,12.735,12.93,3,3367
76,Brooklyn,East New York,72,Brooklyn,East Flatbush/Remsen Village,133,3.23,3.075,19.424,18.82,5,3367
89,Brooklyn,Flatbush/Ditmas Park,61,Brooklyn,Crown Heights North,133,3.58,3.274,21.206,21.69,1,3367
12,Manhattan,Battery Park,230,Manhattan,Times Sq/Theatre District,132,8.94,5.835,32.544,43.58,1,3378
33,Brooklyn,Brooklyn Heights,231,Manhattan,TriBeCa/Civic Center,132,2.66,2.421,25.993,22.75,2,3378
112,Brooklyn,Greenpoint,36,Brooklyn,Bushwick North,132,2.49,3.079,18.472,20.47,6,3378
226,Queens,Sunnyside,237,Manhattan,Upper East Side South,132,1.91,3.123,16.934,26.19,9,3378
36,Brooklyn,Bushwick North,225,Brooklyn,Stuyvesant Heights,131,3.73,1.623,11.593,12.65,3,3397
37,Brooklyn,Bushwick South,17,Brooklyn,Bedford,131,2.5,1.886,14.076,14.81,3,3397
62,Brooklyn,Crown Heights South,61,Brooklyn,Crown Heights North,131,6.79,1.392,11.651,14.87,1,3397
